Title,Price,Status,Market_Sentiment
A Light in the Attic,51.77,EXPENSIVE,Budget Friendly Market
Tipping the Velvet,53.74,EXPENSIVE,Expensive Market
Soumission,50.1,EXPENSIVE,Budget Friendly Market
Sharp Objects,47.82,EXPENSIVE,Expensive Market
Sapiens: A Brief History of Humankind,54.23,EXPENSIVE,Expensive Market
The Requiem Red,22.65,EXPENSIVE,Expensive Market
The Dirty Little Secrets of Getting Your Dream Job,33.34,EXPENSIVE,Budget Friendly Market
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,EXPENSIVE,Expensive Market
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,EXPENSIVE,Expensive Market
The Black Maria,52.15,EXPENSIVE,Expensive Market
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,EXPENSIVE,Expensive Market
Shakespeare's Sonnets,20.66,EXPENSIVE,Expensive Market
Set Me Free,17.46,EXPENSIVE,Budget Friendly Market
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,EXPENSIVE,Expensive Market
Rip it Up and Start Again,35.02,EXPENSIVE,Budget Friendly Market
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,EXPENSIVE,Budget Friendly Market
Olio,23.88,EXPENSIVE,Budget Friendly Market
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,EXPENSIVE,Expensive Market
Libertarianism for Beginners,51.33,EXPENSIVE,Budget Friendly Market
It's Only the Himalayas,45.17,EXPENSIVE,Budget Friendly Market
In Her Wake,12.84,EXPENSIVE,Budget Friendly Market
How Music Works,37.32,EXPENSIVE,Budget Friendly Market
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,EXPENSIVE,Budget Friendly Market
Chase Me (Paris Nights #2),25.27,EXPENSIVE,Expensive Market
Black Dust,34.53,EXPENSIVE,Expensive Market
Birdsong: A Story in Pictures,54.64,EXPENSIVE,Budget Friendly Market
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,EXPENSIVE,Expensive Market
Aladdin and His Wonderful Lamp,53.13,EXPENSIVE,Budget Friendly Market
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,EXPENSIVE,Expensive Market
Wall and Piece,44.18,EXPENSIVE,Budget Friendly Market
The Four Agreements: A Practical Guide to Personal Freedom,17.66,EXPENSIVE,Budget Friendly Market
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,EXPENSIVE,Expensive Market
The Elephant Tree,23.82,EXPENSIVE,Budget Friendly Market
The Bear and the Piano,36.89,EXPENSIVE,Budget Friendly Market
Sophie's World,15.94,EXPENSIVE,Budget Friendly Market
Penny Maybe,33.29,EXPENSIVE,Budget Friendly Market
Maude (1883-1993):She Grew Up with the country,18.02,EXPENSIVE,Budget Friendly Market
"In a Dark, Dark Wood",19.63,EXPENSIVE,Expensive Market
Behind Closed Doors,52.22,EXPENSIVE,Budget Friendly Market
You can't bury them all: Poems,33.63,EXPENSIVE,Budget Friendly Market
Slow States of Collapse: Poems,57.31,EXPENSIVE,Expensive Market
Reasons to Stay Alive,26.41,EXPENSIVE,Budget Friendly Market
Private Paris (Private #10),47.61,EXPENSIVE,Expensive Market
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,EXPENSIVE,Budget Friendly Market
Without Borders (Wanderlove #1),45.07,EXPENSIVE,Budget Friendly Market
When We Collided,31.77,EXPENSIVE,Expensive Market
"We Love You, Charlie Freeman",50.27,EXPENSIVE,Budget Friendly Market
Untitled Collection: Sabbath Poems 2014,14.27,EXPENSIVE,Budget Friendly Market
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,EXPENSIVE,Budget Friendly Market
Unicorn Tracks,18.78,EXPENSIVE,Budget Friendly Market
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,EXPENSIVE,Expensive Market
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,EXPENSIVE,Budget Friendly Market
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,EXPENSIVE,Expensive Market
This One Summer,19.49,EXPENSIVE,Budget Friendly Market
Thirst,17.27,EXPENSIVE,Budget Friendly Market
The Torch Is Passed: A Harding Family Story,19.09,EXPENSIVE,Expensive Market
The Secret of Dreadwillow Carse,56.13,EXPENSIVE,Expensive Market
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,EXPENSIVE,Budget Friendly Market
The Past Never Ends,56.5,EXPENSIVE,Expensive Market
The Natural History of Us (The Fine Art of Pretending #2),45.22,EXPENSIVE,Budget Friendly Market
